"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Response rate,Footnote for response rate,Footnote Number
017000,5,,5,,92,,4,,89,,5,,88,,5,,92,,85,,652,,23,,
017009,5,,5,,93,,5,,93,,5,,87,,4,,92,,88,,316,,33,,
017013,5,,5,,93,,4,,91,,5,,90,,5,,91,,88,,247,,37,,
017014,4,,5,,90,,3,,86,,5,,89,,4,,91,,82,,114,,31,,
017016,4,,4,,91,,4,,90,,5,,90,,4,,90,,84,,212,,30,,
017018,5,,5,,93,,5,,93,,4,,86,,5,,91,,87,,318,,28,,
017020,5,,5,,91,,4,,88,,5,,87,,4,,88,,85,,268,,21,,
017024,4,,4,,89,,4,,87,,4,,86,,3,,86,,81,,471,,29,,
017025,4,,4,,89,,4,,86,,3,,83,,3,,84,,81,,394,,22,,
017026,4,,4,,89,,4,,87,,3,,80,,3,,85,,81,,378,,25,,
017027,5,,5,,90,,4,,89,,5,,88,,4,,88,,82,,601,,29,,
017034,3,,5,,92,,3,,86,,3,,81,,2,,86,,82,,250,,27,,
017035,3,,4,,89,,3,,86,,3,,83,,3,,84,,82,,504,,24,,
017037,3,,4,,90,,3,,87,,3,,83,,3,,85,,79,,266,,26,,
017039,2,,3,,86,,2,,80,,2,,74,,2,,78,,73,,294,,20,,
017048,4,,5,,92,,4,,91,,4,,85,,4,,89,,91,,149,,34,,
017050,Not Available,11,Not Available,11,98,11,Not Available,11,87,11,Not Available,11,82,11,Not Available,11,92,11,86,11,26,11,26,11,11
017051,3,,4,,88,,3,,85,,3,,82,,3,,85,,76,,277,,20,,
017052,4,,5,,92,,4,,90,,4,,84,,4,,88,,85,,338,,36,,
017053,4,,4,,89,,4,,87,,4,,86,,4,,88,,86,,345,,36,,
017054,4,,5,,91,,4,,86,,3,,82,,4,,86,,84,,218,,21,,
017055,4,,5,,92,,4,,90,,4,,84,,4,,86,,84,,233,,29,,
017056,4,,4,,89,,4,,87,,3,,81,,3,,87,,79,,169,,22,,
